method,REFERENCE,DFTB,AM1,PM3,PM3MM,PM6
4c1,0.267441090164849,0.5291181710801194,0.6671821011972684,0.6377779296211556,0.637352473884244,5.655291692572683
e3,n/a,n/a,n/a,4.168542287000006,4.1679147779999886,n/a
bo3,5.251533445002961,4.496401289951118,1.701184681627935,2.2632269900874746,2.2514403186502765,2.7324593794188177
1s3,5.7676886326619545,3.212542806428827,1.1241299493258248,1.583399049237147,1.6041316946422872,2.911253583707567
1s5(0),7.334467537922202,4.2281994960640255,3.0813912381996578,2.7923095961804263,2.2268137657045317,2.8154432574089583
3s1(0),7.939233545834837,4.2557016481952905,5.976499576124128,3.6442023835168555,3.643574874516838,n/a
5s1,9.996340523515212,5.143123157925409,4.452338528755827,4.40322902931773,4.402601520317712,6.9508357177941615
3s1(1),8.099999751129,3.779006315890735,2.113566484275567,2.3120057683168755,2.3113782593168577,4.24359791188722
b25,10.462814165450983,3.5430980023168654,3.554935500371782,3.233830663487284,3.272671895032026,4.5406813710584935
14b,6.875425683008558,3.9726831717904014,1.870625231502622,3.536825019318617,1.823345516505312,2.57948971176116
1s5(1),7.323972126096832,4.067844991328231,1.6403139821184034,2.89323494380636,2.8950780251773027,3.1295636787492884
os2,6.93573473731924,2.463972075636245,1.7079923207546697,1.8508115234371236,1.8343273823336272,4.1725842637448665
25b,13.460070506319889,7.2074345719788635,1.8143822411367634,1.9676471330588494,1.9699971119774304,2.232150928147132
5e,n/a,n/a,3.2647787203703724,n/a,n/a,0.10340833252785261
1e,n/a,n/a,n/a,n/a,n/a,2.661265668999997
e2,n/a,n/a,n/a,7.331255661006057,7.330628152006039,n/a
3h2,n/a,n/a,n/a,6.768312074000011,6.7676845649999935,n/a
5h4,n/a,n/a,3.547726212195861,6.68297085000003,6.682343341000013,2.4924657479999848
1h2,n/a,8.59687329999557,4.146579472000002,7.451669375000016,n/a,3.021983354111378
1c4,7.46151887996334,3.862959001685356,1.7372149152104115,2.665358523426829,2.694366454431161,1.553589769359118
