group,pucker,REFERENCE,APFD,B3LYP,BMK,M06L,PBE,DFTB,AM1,PM3,PM3MM,PM6
0_1-0,oh1/oe,0.0,0.14425,0.31243,0.00045,0.00145,0.37567,8.46497,0,0,0,0
0_2-0,oh5/oe,0.0,0.13952,0.30268,0.00257,0.00584,0.36422,8.44351,0,0,0,0
0_6-0,2h3/e3,0,0,0,0,0,0,47.90611,0,0,0,0
0_6-1,e3,0.0,0,0,0,0,0,0,0,0,0,0
1_2-0,3ob,0.0,0.02235,0.00376,0.00335,0.01783,0.00623,5.36384,13.24989,0,0,13.71066
1_3-0,b14,0.0,0.06717,0.28585,0.02703,0.41614,0.15779,10.41353,20.23198,16.80614,16.80614,19.23413
1_7-0,3e,0.0,0,1.42124,0,0.49556,0,12.70312,0,0,0,0
2_4-0,b25,0.0,0.06947,0.28051,0.04687,0.45337,0.15729,10.40934,20.23198,16.80614,16.80614,19.23413
3_6-0,25b,0.0,0.06815,0.28051,0.05104,0,0.16029,10.38848,20.23198,16.80614,16.80614,19.23413
4_5-0,14b,0.0,0.06652,0.28585,0.02745,0.40809,0,10.40943,20.23198,16.80614,16.80614,19.23413
5_6-0,bo3,0.0,0.02235,0.00376,0.00321,0.018,0.00623,5.35512,13.24989,0,11.26125,13.71066
5_7-0,1ho/1e,0,0,0,0,0,0,53.08981,0,0,0,0
5_7-1,1ho/eo,0.0,0.14377,0.31313,0.00059,0.00145,0.37336,0,0,0,0,0
6_7-0,5ho/eo,0.0,0,0.29582,0,0.00603,0.36649,8.46108,0,0,0,0
